dummy,dummy, scr
RAS,PC,0.0201531648401507
RWO,PC,0.0189342953455279
REU,PC,0.0241738551309437
REP,PC,0.0201531648401507
RAF,PC,0.0201531648401507
RLA,PC,0.0201531648401507
ARG,PC,0.0201531648401507
OCE,PC,0.0201531648401507
AUT,PC,0.00940463640227429
BEL,PC,0.0168783172594334
BRA,PC,0.0201531648401507
BGR,PC,0.031103967347853
CAN,PC,0.0201531648401507
CHA,PC,0.0201531648401507
HRV,PC,0.0118239199748226
CYP,PC,0.00763168291355026
CZE,PC,0.0226802962235069
DNK,PC,0.0359448634028606
EGY,PC,0.0201531648401507
EST,PC,0.0164915713596504
FIN,PC,0.0342967961172259
FRA,PC,0.0220204993251765
DEU,PC,0.00870377805718731
GRC,PC,0.00553118938022073
HUN,PC,0.00368742141842182
NSI,PC,0.0252704070284327
IND,PC,0.0201531648401507
IDN,PC,0.0201531648401507
IRN,PC,0.0201531648401507
IRL,PC,0.0493750357747536
ISR,PC,0.0201531648401507
ITA,PC,0.0189093637161318
JPN,PC,0.0201531648401507
KOR,PC,0.0201531648401507
LVA,PC,0.0122971665514858
LTU,PC,0.0134964539869838
LUX,PC,0.00425323693618072
MLT,PC,0.0124610333212052
MEX,PC,0.0201531648401507
MAR,PC,0.0201531648401507
NLD,PC,0.0184740268190093
NGA,PC,0.0201531648401507
POL,PC,0.0180696772602921
PRT,PC,0.0132030615886703
ROU,PC,0.00603036603341571
RUS,PC,0.0201531648401507
SAU,PC,0.0201531648401507
SVK,PC,0.0130982782620756
SVN,PC,0.00716105323450517
ZAF,PC,0.0201531648401507
ESP,PC,0.0179720282673213
SWE,PC,0.0308620388628147
TUN,PC,0.0201531648401507
TUR,PC,0.0252704070284327
GBR,PC,0.0171059911035937
USA,PC,0.0418811968705786
